step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
46,4460,92,0.04670433456885803,1.0,1.0,,,
47,4558,94,0.10954644061660779,0.0,0.8333333333333334,,,
48,4688,96,0.10913616836759503,0.5,0.8333333333333334,,,
49,4850,98,0.017739395393631643,1.0,1.0,0.03530399776353443,1.0,1.0
50,4996,100,0.04449777037862481,0.5,0.9166666666666666,,,
51,5126,102,0.029941137077112216,1.0,1.0,,,
52,5240,104,0.05878032135704416,0.5,0.8333333333333334,,,
53,5306,106,0.13340740977910173,0.5,0.9166666666666666,,,
54,5388,108,0.06867263351200381,0.5,0.9166666666666666,,,
55,5486,110,0.0628022977009823,0.0,0.75,,,
56,5552,112,0.06492660974101454,0.5,0.9166666666666666,,,
57,5634,114,0.0711064771169622,0.5,0.9166666666666666,0.05674644319355139,0.5,0.9166666666666666
58,5684,116,0.054389841015751395,1.0,1.0,,,
59,5782,118,0.06785029512378364,0.0,0.8333333333333334,,,
60,6008,120,0.0358811126933246,0.0,0.8333333333333334,,,
61,6138,122,0.03180833030877693,1.0,1.0,,,
62,6204,124,0.04700421533056215,0.5,0.9166666666666666,,,
63,6270,126,0.057107463450715844,0.5,0.9166666666666666,,,
64,6384,128,0.07097960961675458,0.0,0.8333333333333334,,,
65,6466,130,0.06316004812255231,0.5,0.9166666666666666,0.04473470988780588,1.0,1.0
66,6548,132,0.087614793213972,0.0,0.75,,,
67,6774,134,0.024073844641674703,1.0,1.0,,,
68,6872,136,0.037399300337415294,0.5,0.9166666666666666,,,
69,6954,138,0.08115148884819064,0.0,0.8333333333333334,,,
70,7036,140,0.040539796213523,0.5,0.9166666666666666,,,
71,7118,142,0.05210877756476838,0.5,0.9166666666666666,,,
72,7200,144,0.04191266772715607,1.0,1.0,,,
73,7314,146,0.04056374007390592,0.5,0.9166666666666666,0.022013786723409798,1.0,1.0
74,7428,148,0.09333348405157656,0.5,0.8333333333333334,,,
75,7510,150,0.08400765328961098,0.5,0.8333333333333334,,,
76,7608,152,0.09559667319896714,0.5,0.8333333333333334,,,
77,7706,154,0.042938325409080186,1.0,1.0,,,
78,7804,156,0.062236728688333944,0.5,0.9166666666666666,,,
79,7870,158,0.07995655577066374,0.5,0.9166666666666666,,,
80,7968,160,0.07171166685819723,0.0,0.8333333333333334,,,
81,8050,162,0.06459924207170843,0.0,0.8333333333333334,0.04906597569080986,0.0,0.8333333333333334
82,8132,164,0.054397284377948385,0.5,0.9166666666666666,,,
83,8214,166,0.061133814996923316,0.0,0.75,,,
84,8296,168,0.0588577682733594,0.5,0.9166666666666666,,,
85,8394,170,0.05501127179207591,0.0,0.8333333333333334,,,
86,8492,172,0.05388390257518041,0.5,0.9166666666666666,,,
87,8574,174,0.05150440254010027,1.0,1.0,,,
88,8656,176,0.05384978350700111,0.5,0.9166666666666666,,,
89,8770,178,0.06095755288057263,0.0,0.8333333333333334,0.07813850644262857,0.5,0.9166666666666666
90,8900,180,0.03966356061106126,0.5,0.9166666666666666,,,
91,8982,182,0.08868285540335637,0.0,0.8333333333333334,,,
92,9064,184,0.0591586507171014,0.5,0.9166666666666666,,,
93,9162,186,0.04092714747828722,0.5,0.9166666666666666,,,
94,9244,188,0.0433205612400634,0.5,0.9166666666666666,,,
95,9326,190,0.037750741760875825,1.0,1.0,,,
96,9440,192,0.03947726908685061,0.5,0.9166666666666666,,,
