step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
103,9438,206,0.03699324503296844,0.5,0.5,,,,,,,,,
104,9504,208,0.032292973578660164,1.0,1.0,,,,,,,,,
105,9586,210,0.049902869076409846,0.0,0.0,0.06623376337481333,0.0,0.0,,,,,,
106,9684,212,0.03839693414503321,0.5,0.5,,,,,,,,,
107,9750,214,0.062036215368716514,0.5,0.5,,,,,,,,,
108,9864,216,0.04004820510911356,0.5,0.5,,,,,,,,,
109,9914,218,0.059330704953366266,0.5,0.5,,,,,,,,,
110,9980,220,0.043950246047606924,0.5,0.5,,,,,,,,,
111,10078,222,0.027632458684286876,1.0,1.0,,,,,,,,,
112,10192,224,0.03372586552964224,1.0,1.0,,,,,,,,,
113,10242,226,0.023363743254449218,1.0,1.0,0.026611045514469474,1.0,1.0,,,,,,
114,10420,228,0.027645025355139463,0.0,0.0,,,,,,,,,
115,10470,230,0.04449009704481189,0.5,0.5,,,,,,,,,
116,10552,232,0.04304291218929575,0.5,0.5,,,,,,,,,
117,10650,234,0.03269346106336646,0.5,0.5,,,,,,,,,
118,10716,236,0.02561110082814544,1.0,1.0,,,,,,,,,
119,10830,238,0.03025777729469285,1.0,1.0,,,,,,,,,
120,10944,240,0.031538545794485666,0.5,0.5,,,,,,,,,
121,11122,242,0.02855379083887039,0.5,0.5,0.036526078847624974,0.5,0.5,,,,,,
122,11236,244,0.02636196809637892,0.5,0.5,,,,,,,,,
123,11350,246,0.03294193531276375,1.0,1.0,,,,,,,,,
124,11432,248,0.0285697202514275,1.0,1.0,,,,,,,,,
125,11546,250,0.028207040476762424,1.0,1.0,,,,,,,,,
126,11644,252,0.022573425824424103,0.5,0.5,,,,,,,,,
127,11774,254,0.039151810197890886,0.0,0.0,,,,,,,,,
128,11824,256,0.036363183833115424,1.0,1.0,,,,,,,,,
129,11906,258,0.04193138743645978,0.5,0.5,0.025920358917127094,1.0,1.0,,,,,,
130,12004,260,0.027336096603879315,1.0,1.0,,,,,,,,,
131,12118,262,0.02995998733793905,0.5,0.5,,,,,,,,,
132,12184,264,0.03084388844046771,1.0,1.0,,,,,,,,,
133,12314,266,0.030541315275731905,0.5,0.5,,,,,,,,,
134,12364,268,0.022361806437838822,1.0,1.0,,,,,,,,,
135,12446,270,0.037831965157762174,0.5,0.5,,,,,,,,,
136,12544,272,0.018063664208845392,1.0,1.0,,,,,,,,,
137,12674,274,0.03745074357633712,0.5,0.5,0.02862059312486053,0.5,0.5,,,,,,
138,12788,276,0.016233484997002442,1.0,1.0,,,,,,,,,
139,12870,278,0.05062847408476227,0.5,0.5,,,,,,,,,
140,12920,280,0.02518075449212726,1.0,1.0,,,,,,,,,
141,13018,282,0.02904199294520368,1.0,1.0,,,,,,,,,
142,13132,284,0.04100368498094862,0.5,0.5,,,,,,,,,
143,13198,286,0.1703602870505347,0.0,0.0,,,,,,,,,
144,13312,288,0.0420346136887799,0.5,0.5,,,,,,,,,
145,13362,290,0.10100221718389851,0.5,0.5,0.030100714710060858,1.0,1.0,,,,,,
146,13412,292,0.05319715899948885,0.5,0.5,,,,,,,,,
147,13494,294,0.027510997609526383,1.0,1.0,,,,,,,,,
148,13608,296,0.03352880649628267,1.0,1.0,,,,,,,,,
149,13690,298,0.056209334932616914,0.5,0.5,,,,,,,,,
150,13772,300,0.06453440001572017,0.0,0.0,,,,,,,,,
151,13886,302,0.050334898219381495,0.5,0.5,,,,,,,,,
152,13952,304,0.028192337405016588,1.0,1.0,,,,,,,,,
153,14018,306,0.06290455799076881,0.5,0.5,0.0388412010917879,0.5,0.5,,,,,,
154,14084,308,0.031917774210560315,1.0,1.0,,,,,,,,,
155,14166,310,0.04210660131124314,0.5,0.5,,,,,,,,,
156,14248,312,0.03475298840233154,0.5,0.5,,,,,,,,,
157,14378,314,0.016894628778172775,0.5,0.5,,,,,,,,,
158,14444,316,0.017704670486273246,1.0,1.0,,,,,,,,,
159,14558,318,0.03335779603341117,0.5,0.5,,,,,,,,,
160,14608,320,0.05382095437167057,1.0,1.0,,,,,,,,,
161,14754,322,0.02599072945047131,0.5,0.5,0.0393552893778542,1.0,1.0,,,,,,
162,14836,324,0.04840042036096566,0.5,0.5,,,,,,,,,
163,14934,326,0.04329538190118911,0.0,0.0,,,,,,,,,
164,15016,328,0.02115214533454855,1.0,1.0,,,,,,,,,
165,15098,330,0.04225392694881884,1.0,1.0,,,,,,,,,
